Time;input.current_ref_limited;input.dc_current_actual;output.control_angle;output.pi_controller_output;output.error;
0.261025;0.01;0.000731523;0.243247;0.0424201;0.00926848;
0.262025;0.01;0.000731523;0.243217;0.0426055;0.00926848;
0.263025;0.01;0.0300969;0.261976;-0.0751787;-0.0200969;
0.264025;0.01;0.000731523;0.243281;0.0422073;0.00926848;
0.265025;0.01;0.000731523;0.243251;0.0423932;0.00926848;
0.266025;0.01;0.0173475;0.253837;-0.0241047;-0.00734754;
0.267025;0.01;0.000731523;0.243244;0.0424348;0.00926848;
0.268025;0.01;0.000731523;0.243215;0.0426207;0.00926848;
0.269025;0.01;0.0118089;0.250260;-0.00163084;-0.00180887;
0.270025;0.01;0.000731523;0.243195;0.0427422;0.00926848;
0.271025;0.01;0.000731523;0.243166;0.0429283;0.00926848;
0.272025;0.01;0.000731523;0.243136;0.0431137;0.00926848;
0.273025;0.01;0.0373077;0.266516;-0.103586;-0.0273077;
0.274025;0.01;0.00114954;0.243506;0.0407885;0.00885046;
0.275025;0.01;0.000731523;0.243211;0.0426449;0.00926848;
0.276025;0.01;0.0203781;0.25573;-0.0359971;-0.0103781;
0.277025;0.01;0.000731523;0.243218;0.0425997;0.00926848;
0.278025;0.01;0.000731523;0.243188;0.0427856;0.00926848;
0.279025;0.01;0.0122269;0.250500;-0.00314136;-0.00222688;
0.280025;0.01;0.000731523;0.243173;0.0428841;0.00926848;
0.281025;0.01;0.000731523;0.243143;0.0430703;0.00926848;
0.282025;0.01;0.000731523;0.243114;0.0432556;0.00926848;
0.283025;0.01;0.0456679;0.271866;-0.136959;-0.0356679;
0.284025;0.01;0.0182881;0.254451;-0.0279644;-0.00828807;
0.285025;0.01;0.000731523;0.243246;0.0424252;0.00926848;
0.286025;0.01;0.0238267;0.257967;-0.0500357;-0.0138267;
0.287025;0.01;0.00146305;0.243739;0.0393265;0.00853695;
0.288025;0.01;0.000731523;0.243244;0.0424385;0.00926848;
0.289025;0.01;0.0128539;0.250955;-0.00600154;-0.00285390;
0.290025;0.01;0.000940529;0.243367;0.0416631;0.00905947;
