Time;input.control_angle_pu;output.upper_limit_pu;output.lower_limit_pu;output.limited_control_angle_pu;output.limit_active;
0.195025;0.243441;0.416986;0.0138465;0.243441;0.0;
0.196025;0.260965;0.416813;0.0138465;0.260965;0.0;
0.197025;0.248024;0.415917;0.0138465;0.248024;0.0;
0.198025;0.243468;0.416575;0.0138465;0.243468;0.0;
0.199025;0.251713;0.416986;0.0138465;0.251713;0.0;
0.200025;0.243735;0.416366;0.0138465;0.243735;0.0;
0.201025;0.243439;0.41678;0.0138465;0.243439;0.0;
0.202025;0.243409;0.416986;0.0138465;0.243409;0.0;
0.203025;0.244747;0.416648;0.0138465;0.244747;0.0;
0.204025;0.24332;0.41675;0.0138465;0.24332;0.0;
0.205025;0.243357;0.416986;0.0138465;0.243357;0.0;
0.206025;0.263689;0.416808;0.0138465;0.263689;0.0;
0.207025;0.255891;0.415716;0.0138465;0.255891;0.0;
0.208025;0.243425;0.416234;0.0138465;0.243425;0.0;
0.209025;0.252403;0.416986;0.0138465;0.252403;0.0;
0.210025;0.246501;0.416297;0.0138465;0.246501;0.0;
0.211025;0.243409;0.416667;0.0138465;0.243409;0.0;
0.212025;0.24338;0.416986;0.0138465;0.24338;0.0;
0.213025;0.246119;0.416636;0.0138465;0.246119;0.0;
0.214025;0.243294;0.416719;0.0138465;0.243294;0.0;
0.215025;0.243331;0.416986;0.0138465;0.243331;0.0;
0.216025;0.267881;0.416808;0.0138465;0.267881;0.0;
0.217025;0.265779;0.415433;0.0138465;0.265779;0.0;
0.218025;0.243465;0.415675;0.0138465;0.243465;0.0;
0.219025;0.253242;0.416966;0.0138465;0.253242;0.0;
0.220025;0.251614;0.41623;0.0138465;0.251614;0.0;
0.221025;0.243469;0.416478;0.0138465;0.243469;0.0;
0.222025;0.24344;0.416986;0.0138465;0.24344;0.0;
0.223025;0.247848;0.416608;0.0138465;0.247848;0.0;
0.224025;0.24336;0.416663;0.0138465;0.24336;0.0;
0.225025;0.243397;0.416986;0.0138465;0.243397;0.0;
0.226025;0.250117;0.416848;0.0138465;0.250117;0.0;
0.227025;0.24337;0.416631;0.0138465;0.24337;0.0;
0.228025;0.243341;0.416975;0.0138465;0.243341;0.0;
0.229025;0.254383;0.416932;0.0138465;0.254383;0.0;
0.230025;0.257501;0.416103;0.0138465;0.257501;0.0;
0.231025;0.243376;0.416173;0.0138465;0.243376;0.0;
0.232025;0.243347;0.416986;0.0138465;0.243347;0.0;
0.233025;0.250689;0.416606;0.0138465;0.250689;0.0;
0.234025;0.243277;0.416545;0.0138465;0.243277;0.0;
0.235025;0.243314;0.416986;0.0138465;0.243314;0.0;
0.236025;0.250434;0.416849;0.0138465;0.250434;0.0;
0.237025;0.243289;0.41661;0.0138465;0.243289;0.0;
0.238025;0.243259;0.416971;0.0138465;0.243259;0.0;
0.239025;0.255434;0.416933;0.0138465;0.255434;0.0;
0.240025;0.263708;0.415999;0.0138465;0.263708;0.0;
0.241025;0.243336;0.415786;0.0138465;0.243336;0.0;
0.242025;0.243306;0.416942;0.0138465;0.243306;0.0;
0.243025;0.253851;0.416595;0.0138465;0.253851;0.0;
0.244025;0.243251;0.416387;0.0138465;0.243251;0.0;
0.245025;0.243288;0.416985;0.0138465;0.243288;0.0;
0.246025;0.251207;0.416851;0.0138465;0.251207;0.0;
0.247025;0.243267;0.416565;0.0138465;0.243267;0.0;
0.248025;0.243237;0.416965;0.0138465;0.243237;0.0;
0.249025;0.256475;0.416939;0.0138465;0.256475;0.0;
0.250025;0.270936;0.415899;0.0138465;0.270936;0.0;
0.251025;0.243836;0.415292;0.0138465;0.243836;0.0;
0.252025;0.24334;0.41676;0.0138465;0.24334;0.0;
