Time;I_a_motor_pu;I_c_motor_pu;U_ab_for_pll_motor;U_bc_for_pll_motor;PLL_error_motor;filtered_frequency_motor;frequency_motor;flux_angle;flux_magnitude;flux_x;flux_y;absolute_speed;motor_voltage_magnitude;dc_voltage;motor_overlap_mask;cos_phi;flux_rotor_frequency;flux_rotor_position;release_pulses;pulse_block_causes;rotor_position_plant;Integrator_angle_motor;R+_motor;S+_motor;T+_motor;R-_motor;S-_motor;T-_motor;dc_voltage_plant;motor_notch_mask_active;
0.0398493;0.000112126;7.99228e-06;-0.149163;0.0891366;-0.000100476;0.150037;0.150037;2.03702;0.896674;-0.403069;0.800974;0.150037;0.150107;-0.109825;0.000207175;-0.847168;0.0287554;2.03702;0.0;0.0;0.940024;2.51414;0.0;0.0;0.0;0.0;0.0;0.0;1.6326e-16;0.0;
0.0405867;0.000113416;5.62164e-06;-0.149437;0.0869885;-0.000104751;0.150036;0.150036;2.04586;0.912449;-0.417346;0.811409;0.150036;0.150107;-0.109825;0.000206809;-0.847166;0.0295604;2.04586;0.0;0.0;0.9574;2.53152;0.0;0.0;0.0;0.0;0.0;0.0;1.36882e-16;0.0;
0.0413241;0.000114670;3.24927e-06;-0.149664;0.0848133;-0.000108905;0.150035;0.150035;2.05469;0.928152;-0.431805;0.821591;0.150035;0.150107;-0.109825;0.000206507;-0.847164;0.0303640;2.05469;0.0;0.0;0.974777;2.54891;0.0;0.0;0.0;0.0;0.0;0.0;6.63063e-17;0.0;
0.0420615;0.000115888;8.75874e-07;-0.149844;0.0826115;-0.000113075;0.150034;0.150034;2.06353;0.943783;-0.446441;0.831515;0.150034;0.150107;-0.109825;0.000206905;-0.847167;0.0311657;2.06353;0.0;0.0;0.992154;2.56629;0.0;0.0;0.0;0.0;0.0;0.0;2.71127e-16;0.0;
0.0427989;0.000117070;-1.4978e-06;-0.149978;0.0803840;-0.000116940;0.150033;0.150033;2.07236;0.959341;-0.461251;0.841179;0.150033;0.150107;-0.109825;0.000207199;-0.847168;0.0319653;2.07236;0.0;0.0;1.00953;2.58367;0.0;0.0;0.0;0.0;0.0;0.0;3.12655e-16;0.0;
0.0435363;0.000118216;-3.871e-06;-0.150064;0.0781313;-0.000120717;0.150032;0.150032;2.0812;0.974823;-0.476229;0.850580;0.150032;0.150107;-0.109825;0.000207016;-0.847167;0.0327623;2.0812;0.0;0.0;1.02691;2.60105;0.0;0.0;0.0;0.0;0.0;0.0;3.91595e-16;0.0;
0.0442737;0.000119142;-5.84777e-06;-0.150104;0.0758543;-0.000124158;0.150031;0.150031;2.09003;0.990230;-0.491371;0.859715;0.150031;0.150107;-0.109825;0.000206555;-0.847164;0.0335564;2.09003;0.0;0.0;1.04429;2.61843;0.0;0.0;0.0;0.0;0.0;0.0;3.61472e-16;0.0;
0.0450111;0.000120219;-8.21819e-06;-0.150102;0.0739387;-0.000127315;0.150030;0.150030;2.0974;1.00301;-0.504111;0.867122;0.150030;0.150107;-0.109825;0.000206619;-0.847165;0.0342157;2.0974;0.0;0.0;1.06166;2.63581;0.0;0.0;0.0;0.0;0.0;0.0;4.95997e-16;0.0;
0.0457485;0.000121260;-1.05861e-05;-0.150055;0.0716187;-0.000130741;0.150029;0.150029;2.10623;1.01827;-0.51954;0.875762;0.150029;0.150107;-0.109825;0.000207072;-0.847167;0.0350036;2.10623;0.0;0.0;1.07904;2.65319;0.0;0.0;0.0;0.0;0.0;0.0;4.11141e-16;0.0;
0.0464859;0.000122262;-1.29506e-05;-0.149962;0.0692765;-0.000134015;0.150028;0.150028;2.11507;1.03346;-0.53512;0.884127;0.150028;0.150107;-0.109825;0.000207183;-0.847168;0.0357877;2.11507;0.0;0.0;1.09642;2.67057;0.0;0.0;0.0;0.0;0.0;0.0;4.90230e-16;0.0;
0.0472233;0.000123226;-1.53111e-05;-0.149823;0.0669125;-0.000137362;0.150027;0.150027;2.1239;1.04856;-0.550846;0.892216;0.150027;0.150107;-0.109825;0.000206841;-0.847166;0.0365676;2.1239;0.0;0.0;1.11379;2.68795;0.0;0.0;0.0;0.0;0.0;0.0;3.03595e-16;0.0;
0.0479607;0.000124151;-1.76668e-05;-0.149636;0.0645277;-0.000140250;0.150026;0.150026;2.13274;1.06358;-0.566712;0.900026;0.150026;0.150107;-0.109825;0.000206500;-0.847164;0.0373432;2.13274;0.0;0.0;1.13117;2.70533;0.0;0.0;0.0;0.0;0.0;0.0;4.5844e-16;0.0;
0.0486981;0.000125038;-2.00170e-05;-0.149403;0.0621228;-0.000143360;0.150025;0.150025;2.14158;1.07852;-0.582713;0.907554;0.150025;0.150107;-0.109825;0.000206881;-0.847166;0.0381139;2.14158;0.0;0.0;1.14855;2.72271;0.0;0.0;0.0;0.0;0.0;0.0;2.21456e-16;0.0;
0.0494356;0.000125886;-2.2361e-05;-0.149123;0.0596984;-0.000145982;0.150024;0.150024;2.15041;1.09338;-0.598845;0.914799;0.150024;0.150107;-0.109825;0.000207191;-0.847168;0.0388797;2.15041;0.0;0.0;1.16592;2.74009;0.0;0.0;0.0;0.0;0.0;0.0;2.38798e-16;0.0;
0.0501730;0.000126694;-2.4698e-05;-0.148796;0.0572554;-0.000148890;0.150023;0.150023;2.15925;1.10815;-0.615102;0.921757;0.150023;0.150107;-0.109825;0.000207040;-0.847167;0.0396403;2.15925;0.0;0.0;1.1833;2.75747;0.0;0.0;0.0;0.0;0.0;0.0;-8.02045e-18;0.0;
0.0509104;0.000127463;-2.70272e-05;-0.148423;0.0547945;-0.000151649;0.150022;0.150022;2.16808;1.12283;-0.63148;0.928427;0.150022;0.150107;-0.109825;0.000206571;-0.847164;0.0403954;2.16808;0.0;0.0;1.20068;2.77485;0.0;0.0;0.0;0.0;0.0;0.0;9.99102e-17;0.0;
0.0516478;0.000128073;-2.89618e-05;-0.148004;0.0523166;-0.000153949;0.150021;0.150021;2.17692;1.13742;-0.647973;0.934806;0.150021;0.150107;-0.109825;0.000206651;-0.847164;0.0411448;2.17692;0.0;0.0;1.21805;2.79223;0.0;0.0;0.0;0.0;0.0;0.0;-4.93698e-17;0.0;
0.0523852;0.000128769;-3.12751e-05;-0.147619;0.0502390;-0.000156009;0.150021;0.150020;2.18428;1.14952;-0.661802;0.939899;0.150021;0.150107;-0.109825;0.000207048;-0.847167;0.0417647;2.18428;0.0;0.0;1.23543;2.80961;0.0;0.0;0.0;0.0;0.0;0.0;-3.82613e-16;0.0;
0.0531226;0.000129424;-3.35786e-05;-0.147115;0.0477317;-0.000158258;0.150020;0.150019;2.19312;1.16395;-0.678493;0.945741;0.150020;0.150107;-0.109825;0.000207183;-0.847168;0.0425030;2.19312;0.0;0.0;1.25281;2.82699;0.0;0.0;0.0;0.0;0.0;0.0;-2.0532e-16;0.0;
0.05386;0.000130039;-3.58716e-05;-0.146565;0.0452094;-0.000160666;0.150019;0.150018;2.20195;1.17829;-0.695285;0.951286;0.150019;0.150107;-0.109825;0.000206866;-0.847166;0.043235;2.20195;0.0;0.0;1.27019;2.84436;0.0;0.0;0.0;0.0;0.0;0.0;-3.21087e-16;0.0;
0.0545974;0.000130614;-3.81533e-05;-0.145969;0.0426731;-0.000162524;0.150018;0.150018;2.21079;1.19254;-0.712172;0.956535;0.150018;0.150107;-0.109825;0.000206500;-0.847163;0.0439606;2.21079;0.0;0.0;1.28756;2.86174;0.0;0.0;0.0;0.0;0.0;0.0;-4.00725e-16;0.0;
0.0553348;0.000131148;-4.04232e-05;-0.145328;0.0401234;-0.000164698;0.150017;0.150017;2.21963;1.20669;-0.729149;0.961484;0.150017;0.150107;-0.109825;0.000206842;-0.847165;0.0446794;2.21963;0.0;0.0;1.30494;2.87912;0.0;0.0;0.0;0.0;0.0;0.0;-5.71772e-16;0.0;
